disease,symptoms
diabetic retinopathy,"lacrimation,spots or clouds in vision,symptoms of eye,foreign body sensation in eye"
vaginitis,"suprapubic pain,vaginal pain,pelvic pain,pain during intercourse,painful urination"
peritonitis,"shortness of breath,intermenstrual bleeding,vomiting"
asthma,"allergic reaction,coughing up sputum,cough,difficulty breathing,sharp chest pain"
panic disorder,"dizziness,palpitations,depressive or psychotic symptoms,abnormal involuntary movements,depression,breathing fast,anxiety and nervousness"
asthma,"wheezing,allergic reaction,coughing up sputum,difficulty breathing,chest tightness,fever"
metabolic disorder,"jaundice,arm stiffness or tightness"
vaginitis,"sharp abdominal pain,suprapubic pain,pain during intercourse,vaginal pain"
pyelonephritis,"blood in urine,lower abdominal pain,back pain,suprapubic pain,sharp abdominal pain,nausea,low back pain"
acute pancreatitis,"burning abdominal pain,abusing alcohol,hemoptysis,vomiting,sharp abdominal pain,back pain,sharp chest pain,side pain,lower body pain,upper abdominal pain,diarrhea,nausea"
fibromyalgia,"low back pain,muscle pain,arm pain,hip pain"
atrophic vaginitis,"suprapubic pain,vaginal itching,vaginal discharge,pain during intercourse,blood in urine,involuntary urination"
acute pancreatitis,"nausea,burning abdominal pain,vomiting,back pain,diarrhea"
osteochondrosis,"knee pain,elbow pain,bowlegged or knock-kneed,hand or finger pain"
problem during pregnancy,"sharp abdominal pain,lower abdominal pain,spotting or bleeding during pregnancy,back pain,pain during pregnancy,pelvic pain,problems during pregnancy"
problem during pregnancy,"back pain,vomiting,pelvic pain,nausea,cramps and spasms"
acute pancreatitis,"back pain,sharp abdominal pain,burning abdominal pain,diarrhea,upper abdominal pain,sharp chest pain,lower body pain"
asthma,"difficulty breathing,sharp chest pain,fever,cough,coryza,shortness of breath,nasal congestion"
asthma,"nasal congestion,coryza,cough,wheezing"
panic disorder,"anxiety and nervousness,palpitations,depressive or psychotic symptoms,insomnia,shortness of breath,abnormal involuntary movements"
fibromyalgia,"neck pain,headache,leg pain,back pain,muscle pain,sharp chest pain"
acute pancreatitis,"upper abdominal pain,lower body pain,abusing alcohol,nausea,sharp abdominal pain,diarrhea,sharp chest pain,vomiting"
injury to the abdomen,"leg pain,sharp chest pain,back pain,blood in urine,sharp abdominal pain"
eye alignment disorder,"eye moves abnormally,eye deviation,double vision,symptoms of eye,diminished vision,irregular appearing scalp,pain in eye"
pyelonephritis,"vomiting,blood in urine,painful urination,sharp abdominal pain"
peritonitis,"groin mass,side pain,intermenstrual bleeding,back pain,shortness of breath"
rotator cuff injury,"hand or finger stiffness or tightness,arm pain,shoulder weakness"
acute pancreatitis,"diarrhea,side pain,back pain,vomiting"
injury to the hand,"skin growth,joint pain,wrist swelling,hand or finger stiffness or tightness"
problem during pregnancy,"nausea,pain during pregnancy,pelvic pain,headache,spotting or bleeding during pregnancy,problems during pregnancy,lower abdominal pain,sharp abdominal pain"
eye alignment disorder,"symptoms of eye,irregular appearing scalp,lack of growth,pain in eye"
pyelonephritis,"suprapubic pain,nausea,lower abdominal pain,painful urination,frequent urination,side pain,back pain,low back pain"
vaginitis,"sharp abdominal pain,pelvic pain,vaginal pain,vaginal redness,vaginal itching,lower abdominal pain"
eye alignment disorder,"irregular appearing scalp,eye deviation"
chronic pain disorder,"leg pain,pelvic pain,hip pain,sharp abdominal pain"
fibromyalgia,"back pain,arm pain,low back pain,sharp chest pain"
vaginitis,"pain during pregnancy,vaginal pain,vaginal itching,pain during intercourse"
pyelonephritis,"lower abdominal pain,vomiting,low back pain,sharp abdominal pain,frequent urination"
transient ischemic attack,"headache,paresthesia,dizziness,difficulty speaking,loss of sensation,symptoms of the face,disturbance of memory,focal weakness"
atrophic vaginitis,"painful urination,suprapubic pain,involuntary urination,frequent urination,vaginal discharge,blood in urine"
panic disorder,"anxiety and nervousness,depressive or psychotic symptoms,depression,chest tightness,shortness of breath,dizziness,palpitations"
problem during pregnancy,"nausea,problems during pregnancy,headache,pelvic pain,cramps and spasms,vomiting,sharp abdominal pain,lower abdominal pain"
asthma,"difficulty breathing,wheezing,fever"
peritonitis,"groin mass,vomiting,sharp abdominal pain,shortness of breath,back pain,nausea"
panic disorder,"breathing fast,abnormal involuntary movements,insomnia,irregular heartbeat,depression,shortness of breath,chest tightness,palpitations,dizziness"
vaginitis,"vaginal itching,vaginal pain,lower abdominal pain,pain during intercourse,sharp abdominal pain,pelvic pain"
injury to the hand,"hand or finger stiffness or tightness,hand or finger pain,wrist swelling,wrist pain"
eating disorder,"depression,difficulty eating,abusing alcohol,decreased appetite,insomnia"
acute pancreatitis,"upper abdominal pain,sharp chest pain,burning abdominal pain,sharp abdominal pain,lower body pain,side pain,vomiting,back pain"
panic disorder,"abnormal involuntary movements,insomnia,shortness of breath,depressive or psychotic symptoms,irregular heartbeat,palpitations"
cellulitis or abscess of mouth,"lip swelling,difficulty in swallowing,sore throat,abnormal appearing skin,throat swelling"
panic disorder,"depression,depressive or psychotic symptoms,irregular heartbeat,abnormal involuntary movements,anxiety and nervousness,breathing fast,shortness of breath,dizziness"
transient ischemic attack,"dizziness,difficulty speaking,weakness,focal weakness,loss of sensation,depressive or psychotic symptoms,paresthesia"
cellulitis or abscess of mouth,"abnormal appearing skin,toothache,skin growth,throat swelling,difficulty in swallowing"
acute pancreatitis,"lower body pain,burning abdominal pain,back pain,hemoptysis"
acute pancreatitis,"abusing alcohol,burning abdominal pain,nausea,hemoptysis,diarrhea,lower body pain,back pain,sharp chest pain"
acute pancreatitis,"sharp abdominal pain,diarrhea,nausea,burning abdominal pain,lower body pain,hemoptysis,back pain"
sick sinus syndrome,"decreased heart rate,palpitations,fainting,irregular heartbeat,dizziness"
transient ischemic attack,"focal weakness,dizziness,difficulty speaking"
fibromyalgia,"hip pain,low back pain,muscle pain,sharp chest pain"
panic disorder,"abnormal involuntary movements,palpitations,insomnia,shortness of breath,depression,chest tightness,depressive or psychotic symptoms,irregular heartbeat"
tinnitus of unknown cause,"headache,hoarse voice"
subdural hemorrhage,"dizziness,irritable infant,vomiting,facial pain"
chronic pain disorder,"ache all over,leg pain,sharp abdominal pain,back pain,knee pain"
problem during pregnancy,"pain during pregnancy,spotting or bleeding during pregnancy,sharp abdominal pain,headache,nausea,pelvic pain,lower abdominal pain"
diabetic retinopathy,"abnormal movement of eyelid,double vision,symptoms of eye,foreign body sensation in eye"
atrophic vaginitis,"vaginal discharge,suprapubic pain,pain during intercourse"
glaucoma,"itchy eyelid,itchiness of eye,eye redness,foreign body sensation in eye,spots or clouds in vision"
vocal cord polyp,"difficulty speaking,throat feels tight,throat swelling"
panic disorder,"irregular heartbeat,insomnia,abnormal involuntary movements,dizziness,breathing fast"
acute pancreatitis,"side pain,upper abdominal pain,sharp abdominal pain,nausea"
fibromyalgia,"low back pain,hip pain,muscle pain"
acute pancreatitis,"hemoptysis,side pain,abusing alcohol,nausea"
cellulitis or abscess of mouth,"lip swelling,abnormal appearing skin,throat swelling,skin growth,sore throat"
diabetic retinopathy,"foreign body sensation in eye,lacrimation,itchiness of eye,symptoms of eye"
vaginitis,"suprapubic pain,vaginal redness,pain during pregnancy,pain during intercourse,pelvic pain"
vaginitis,"sharp abdominal pain,pain during pregnancy,vaginal redness,vaginal discharge,painful urination,vaginal pain,pelvic pain,lower abdominal pain"
fibromyalgia,"back pain,ache all over,low back pain,hip pain,headache"
pyelonephritis,"nausea,sharp abdominal pain,frequent urination,suprapubic pain"
problem during pregnancy,"nausea,lower abdominal pain,sharp abdominal pain,vomiting,back pain,pelvic pain"
panic disorder,"dizziness,breathing fast,insomnia,depressive or psychotic symptoms,depression,abnormal involuntary movements,anxiety and nervousness"
chronic pain disorder,"knee pain,hip pain,pelvic pain,low back pain,ache all over,headache"
thrombophlebitis,"arm swelling,skin swelling,skin on leg or foot looks infected,leg pain"
asthma,"chest tightness,coryza,coughing up sputum,wheezing,nasal congestion"
vocal cord polyp,"throat swelling,difficulty speaking"
choledocholithiasis,"side pain,upper abdominal pain,sharp chest pain,jaundice,decreased appetite"
pyelonephritis,"nausea,sharp abdominal pain,back pain"
acute pancreatitis,"upper abdominal pain,vomiting,back pain,hemoptysis,burning abdominal pain,nausea,diarrhea"
atrophic vaginitis,"vaginal discharge,pain during intercourse,suprapubic pain,involuntary urination,blood in urine,vaginal itching"
acute pancreatitis,"sharp chest pain,burning abdominal pain,upper abdominal pain,abusing alcohol,sharp abdominal pain,side pain"
eye alignment disorder,"diminished vision,pain in eye,symptoms of eye,cross-eyed,eye deviation,lack of growth,eye moves abnormally,double vision"
pyelonephritis,"back pain,sharp abdominal pain,suprapubic pain,low back pain,painful urination,frequent urination,blood in urine"
panic disorder,"irregular heartbeat,palpitations,insomnia,chest tightness,dizziness"
cirrhosis,"blood in stool,regurgitation.1,peripheral edema,regurgitation"
diabetic retinopathy,"symptoms of eye,foreign body sensation in eye,abnormal movement of eyelid,lacrimation,diminished vision,pain in eye"
eye alignment disorder,"lack of growth,cross-eyed,pain in eye,eye moves abnormally,irregular appearing scalp"
peritonitis,shortness of breath
glaucoma,"eye redness,diminished vision,pain in eye,foreign body sensation in eye,symptoms of eye,itchy eyelid,itchiness of eye"
glaucoma,"eye redness,spots or clouds in vision,itchy eyelid,diminished vision,lacrimation"
problem during pregnancy,"problems during pregnancy,pain during pregnancy,pelvic pain,back pain"
panic disorder,"insomnia,chest tightness,irregular heartbeat,dizziness,depressive or psychotic symptoms"
problem during pregnancy,"pelvic pain,problems during pregnancy,back pain,lower abdominal pain"
panic disorder,"anxiety and nervousness,dizziness,insomnia,depressive or psychotic symptoms,shortness of breath,breathing fast,palpitations,chest tightness,abnormal involuntary movements"
problem during pregnancy,"problems during pregnancy,vomiting,spotting or bleeding during pregnancy,pelvic pain,back pain,pain during pregnancy,cramps and spasms"
choledocholithiasis,"jaundice,sharp abdominal pain,vomiting,chills,sharp chest pain,upper abdominal pain"
atrophic vaginitis,"blood in urine,painful urination,suprapubic pain"
transient ischemic attack,"weakness,depressive or psychotic symptoms,difficulty speaking,symptoms of the face,focal weakness,loss of sensation"
eye alignment disorder,"eye deviation,symptoms of eye,diminished vision"
asthma,"coughing up sputum,coryza,wheezing,difficulty breathing,nasal congestion,fever"
choledocholithiasis,"nausea,vomiting,jaundice,upper abdominal pain,decreased appetite,side pain,chills,sharp chest pain"
chronic pain disorder,"pelvic pain,headache,leg pain,shoulder pain,sharp abdominal pain,hip pain"
liver cancer,"decreased appetite,groin mass"
chronic pain disorder,"ache all over,headache,shoulder pain,hip pain,knee pain,leg pain,back pain,pelvic pain"
cirrhosis,"regurgitation.1,sharp abdominal pain,vomiting blood,peripheral edema,shortness of breath,regurgitation"
pyelonephritis,"low back pain,nausea,blood in urine,side pain,vomiting"
acute pancreatitis,"back pain,diarrhea,nausea,sharp chest pain,hemoptysis,abusing alcohol,vomiting,burning abdominal pain,sharp abdominal pain,upper abdominal pain"
ischemia of the bowel,"constipation,retention of urine,sharp abdominal pain,vomiting"
eating disorder,"decreased appetite,acne or pimples,depressive or psychotic symptoms,abusing alcohol,depression"
chronic pain disorder,"low back pain,sharp abdominal pain,ache all over,back pain,knee pain,leg pain,headache"
glaucoma,"diminished vision,lacrimation,itchiness of eye,foreign body sensation in eye"
subdural hemorrhage,"facial pain,vomiting,depressive or psychotic symptoms,dizziness,irritable infant"
problem during pregnancy,"back pain,sharp abdominal pain,vomiting,problems during pregnancy,pelvic pain"
atrophic vaginitis,"suprapubic pain,blood in urine,vaginal itching"
injury to the hand,"hand or finger stiffness or tightness,hand or finger swelling"
panic disorder,"depressive or psychotic symptoms,chest tightness,depression,dizziness"
problem during pregnancy,"problems during pregnancy,sharp abdominal pain,nausea,headache,cramps and spasms"
asthma,"difficulty breathing,wheezing,sharp chest pain,nasal congestion,coryza,chest tightness,allergic reaction"
chronic pain disorder,"ache all over,shoulder pain,sharp abdominal pain,back pain"
acute pancreatitis,"back pain,sharp chest pain,side pain,abusing alcohol,burning abdominal pain,sharp abdominal pain"
panic disorder,"chest tightness,shortness of breath,dizziness,irregular heartbeat,depression,abnormal involuntary movements,palpitations"
panic disorder,"anxiety and nervousness,insomnia,irregular heartbeat,shortness of breath,palpitations,chest tightness,abnormal involuntary movements,breathing fast,dizziness"
pyelonephritis,"vomiting,sharp abdominal pain,low back pain,nausea,frequent urination"
headache after lumbar puncture,"vomiting,nausea,neck pain,low back pain,painful urination"
acute pancreatitis,"burning abdominal pain,sharp chest pain,lower body pain,upper abdominal pain,vomiting,abusing alcohol"
peritonitis,"nausea,intermenstrual bleeding,sharp abdominal pain"
fibromyalgia,"leg pain,sharp chest pain,hip pain,arm pain,headache,neck pain,ache all over,muscle pain"
transient ischemic attack,"difficulty speaking,depressive or psychotic symptoms,disturbance of memory,symptoms of the face,weakness,headache"
problem during pregnancy,"pelvic pain,back pain,nausea,vomiting,lower abdominal pain"
rotator cuff injury,"hand or finger stiffness or tightness,shoulder pain,arm stiffness or tightness"
peritonitis,"intermenstrual bleeding,groin mass,shortness of breath,back pain,sharp abdominal pain,nausea"
pyelonephritis,"lower abdominal pain,vomiting,frequent urination,low back pain"
problem during pregnancy,"cramps and spasms,pain during pregnancy,problems during pregnancy,sharp abdominal pain,spotting or bleeding during pregnancy"
subdural hemorrhage,"irritable infant,dizziness"
problem during pregnancy,"sharp abdominal pain,pain during pregnancy,spotting or bleeding during pregnancy,vomiting,back pain,cramps and spasms"
peritonitis,"side pain,intermenstrual bleeding,shortness of breath,back pain,groin mass"
peritonitis,"shortness of breath,nausea,groin mass,back pain,vomiting,intermenstrual bleeding"
ischemia of the bowel,"sharp abdominal pain,constipation,burning abdominal pain,blood in stool,retention of urine"
atelectasis,"shortness of breath,sore throat,dizziness,headache"
eating disorder,"insomnia,depression,abusing alcohol"
glaucoma,"diminished vision,foreign body sensation in eye,itchy eyelid,pain in eye,symptoms of eye"
eating disorder,"weight gain,difficulty eating,acne or pimples,depression,anxiety and nervousness,insomnia"
panic disorder,"breathing fast,anxiety and nervousness,dizziness,depressive or psychotic symptoms,chest tightness,palpitations,shortness of breath"
eating disorder,"weight gain,abusing alcohol,acne or pimples,depressive or psychotic symptoms,difficulty eating,insomnia"
acute pancreatitis,"nausea,vomiting,burning abdominal pain,side pain,sharp chest pain,upper abdominal pain,back pain"
acute pancreatitis,"nausea,side pain,abusing alcohol,diarrhea,burning abdominal pain,sharp chest pain"
fibromyalgia,"muscle pain,back pain,low back pain,hip pain"
asthma,"fever,coughing up sputum,sharp chest pain,coryza,difficulty breathing,allergic reaction"
glaucoma,"foreign body sensation in eye,pain in eye,spots or clouds in vision,diminished vision,symptoms of eye,itchy eyelid,itchiness of eye"
ischemia of the bowel,"vomiting,nausea,retention of urine,burning abdominal pain,blood in stool"
choledocholithiasis,"jaundice,side pain,chills"
problem during pregnancy,"spotting or bleeding during pregnancy,headache,nausea,cramps and spasms,pelvic pain"
fibromyalgia,"headache,back pain,neck pain,low back pain,ache all over,arm pain"
vaginitis,"pelvic pain,painful urination,vaginal pain,pain during intercourse,vaginal discharge,suprapubic pain,vaginal itching"
asthma,"nasal congestion,coryza,cough,shortness of breath,fever,allergic reaction"
pyelonephritis,"nausea,lower abdominal pain,back pain,low back pain"
osteochondrosis,"hand or finger pain,bowlegged or knock-kneed,foot or toe pain,elbow pain,ankle pain"
panic disorder,"insomnia,depressive or psychotic symptoms,anxiety and nervousness,palpitations,breathing fast,shortness of breath"
chronic pain disorder,"low back pain,leg pain,pelvic pain,shoulder pain,ache all over"
chronic pain disorder,"shoulder pain,headache,knee pain,pelvic pain,ache all over"
thrombophlebitis,"ache all over,lymphedema,leg swelling,skin swelling"
asthma,"coughing up sputum,coryza,difficulty breathing,sharp chest pain,fever,nasal congestion,allergic reaction"
atrophic vaginitis,"vaginal discharge,vaginal itching,blood in urine,pain during intercourse,involuntary urination"
atrophic vaginitis,"vaginal discharge,blood in urine,painful urination,pain during intercourse,involuntary urination"
headache after lumbar puncture,"dizziness,painful urination,neck pain,headache,low back pain,nausea"
pyelonephritis,"side pain,frequent urination,suprapubic pain"
problem during pregnancy,"sharp abdominal pain,lower abdominal pain,spotting or bleeding during pregnancy,back pain,headache,pelvic pain"
chronic pain disorder,"low back pain,shoulder pain,ache all over"
acute pancreatitis,"vomiting,upper abdominal pain,nausea,back pain,hemoptysis,sharp abdominal pain,burning abdominal pain"
rotator cuff injury,"arm stiffness or tightness,hand or finger stiffness or tightness"
peritonitis,"shortness of breath,vomiting,groin mass,side pain,sharp abdominal pain"
panic disorder,"depressive or psychotic symptoms,irregular heartbeat,insomnia,chest tightness,palpitations,breathing fast"
fibromyalgia,"back pain,low back pain,arm pain,hip pain,neck pain,muscle pain"
chronic pain disorder,"leg pain,low back pain,headache,sharp abdominal pain,back pain"
acute pancreatitis,"diarrhea,abusing alcohol,burning abdominal pain,hemoptysis"
problem during pregnancy,"pain during pregnancy,sharp abdominal pain,lower abdominal pain,headache,spotting or bleeding during pregnancy,back pain"
glaucoma,"foreign body sensation in eye,symptoms of eye,diminished vision,pain in eye,lacrimation"
pyelonephritis,"painful urination,vomiting,frequent urination,suprapubic pain"
choledocholithiasis,"vomiting,decreased appetite,jaundice"
eating disorder,"abusing alcohol,insomnia,acne or pimples,difficulty eating,weight gain"
eye alignment disorder,"pain in eye,lack of growth,irregular appearing scalp,eye deviation,eye moves abnormally"
injury to the abdomen,"leg pain,back pain,blood in urine"
cryptorchidism,"symptoms of the scrotum and testes,swelling of scrotum,lack of growth"
problem during pregnancy,"spotting or bleeding during pregnancy,back pain,headache,pelvic pain,pain during pregnancy,sharp abdominal pain"
panic disorder,"abnormal involuntary movements,dizziness,depression,breathing fast,shortness of breath,depressive or psychotic symptoms,chest tightness"
chronic pain disorder,"leg pain,sharp abdominal pain,low back pain,back pain,shoulder pain,ache all over,knee pain"
diabetic retinopathy,"symptoms of eye,foreign body sensation in eye,itchiness of eye,double vision"
vaginitis,"vaginal discharge,vaginal pain,pain during intercourse,pain during pregnancy,pelvic pain,suprapubic pain,vaginal redness,sharp abdominal pain,lower abdominal pain"
acute pancreatitis,"upper abdominal pain,burning abdominal pain,abusing alcohol,lower body pain,side pain,hemoptysis,vomiting"
choledocholithiasis,"nausea,sharp abdominal pain,sharp chest pain,upper abdominal pain,jaundice,side pain,vomiting"
salivary gland disorder,"throat feels tight,cough,swollen lymph nodes"
acute pancreatitis,"nausea,sharp abdominal pain,lower body pain,sharp chest pain,side pain,upper abdominal pain,abusing alcohol,burning abdominal pain"
pyelonephritis,"low back pain,lower abdominal pain,back pain,suprapubic pain,vomiting"
acute pancreatitis,"abusing alcohol,nausea,back pain,side pain,sharp abdominal pain,diarrhea"
pyelonephritis,"back pain,nausea,suprapubic pain,vomiting,side pain,lower abdominal pain,sharp abdominal pain"
transient ischemic attack,"disturbance of memory,focal weakness,loss of sensation,weakness,symptoms of the face"
vaginitis,"vaginal redness,vaginal itching,suprapubic pain,vaginal pain,pelvic pain"
thrombophlebitis,"foot or toe pain,skin swelling,leg pain,arm pain,skin on leg or foot looks infected,lymphedema,arm swelling"
atrophic vaginitis,"involuntary urination,blood in urine,suprapubic pain,vaginal itching,pain during intercourse"
asthma,"wheezing,cough,shortness of breath,fever,coughing up sputum,difficulty breathing"
problem during pregnancy,"headache,pelvic pain,spotting or bleeding during pregnancy,pain during pregnancy,vomiting,sharp abdominal pain,lower abdominal pain"
pyelonephritis,"lower abdominal pain,sharp abdominal pain,low back pain,nausea,suprapubic pain,frequent urination"
eye alignment disorder,"double vision,eye deviation,symptoms of eye,pain in eye,eye moves abnormally,lack of growth,cross-eyed"
pyelonephritis,"sharp abdominal pain,side pain,painful urination,low back pain,back pain"
asthma,"shortness of breath,sharp chest pain,cough,coughing up sputum,fever"
eye alignment disorder,"symptoms of eye,diminished vision,lack of growth"
pyelonephritis,"side pain,lower abdominal pain,suprapubic pain"
eye alignment disorder,"irregular appearing scalp,eye deviation,double vision,eye moves abnormally,lack of growth"
pyelonephritis,"lower abdominal pain,nausea,vomiting,blood in urine,painful urination,sharp abdominal pain"
cellulitis or abscess of mouth,"throat swelling,toothache,difficulty in swallowing,abnormal appearing skin"
sick sinus syndrome,"shortness of breath,fainting,weakness,decreased heart rate,dizziness,increased heart rate"
problem during pregnancy,"headache,pain during pregnancy,sharp abdominal pain,back pain,lower abdominal pain"
asthma,"nasal congestion,cough,allergic reaction,difficulty breathing,coryza,coughing up sputum"
asthma,"fever,coughing up sputum,difficulty breathing,coryza,cough"
atelectasis,"shortness of breath,dizziness,sore throat"
headache after lumbar puncture,"painful urination,vomiting,neck pain,low back pain"
pyelonephritis,"back pain,vomiting,frequent urination"
cirrhosis,"upper abdominal pain,vomiting blood,blood in stool"
problem during pregnancy,"lower abdominal pain,vomiting,pain during pregnancy,problems during pregnancy,back pain,pelvic pain"
thrombophlebitis,"leg pain,skin on leg or foot looks infected,skin swelling,lymphedema"
thoracic aortic aneurysm,"chest tightness,jaundice,sharp chest pain"
panic disorder,"irregular heartbeat,shortness of breath,insomnia,depression,depressive or psychotic symptoms"
vaginitis,"pain during pregnancy,vaginal pain,sharp abdominal pain,vaginal discharge"
panic disorder,"dizziness,depression,shortness of breath,insomnia,depressive or psychotic symptoms,breathing fast,palpitations"
pyelonephritis,"sharp abdominal pain,suprapubic pain,frequent urination,lower abdominal pain,blood in urine,back pain,nausea,side pain"
fibromyalgia,"back pain,low back pain,sharp chest pain,neck pain"
cirrhosis,"regurgitation,regurgitation.1,sharp abdominal pain,blood in stool,abdominal distention,shortness of breath,vomiting blood,peripheral edema"
vaginitis,"pain during intercourse,sharp abdominal pain,pelvic pain,painful urination,lower abdominal pain,vaginal pain"
atrophic vaginitis,"involuntary urination,suprapubic pain,frequent urination,blood in urine,vaginal itching,pain during intercourse,painful urination"
problem during pregnancy,"headache,back pain,problems during pregnancy,pain during pregnancy,cramps and spasms"
acute pancreatitis,"nausea,burning abdominal pain,sharp chest pain,hemoptysis,diarrhea,upper abdominal pain,side pain"
tinnitus of unknown cause,"hoarse voice,plugged feeling in ear,diminished hearing,dizziness,ear pain,headache"
problem during pregnancy,"cramps and spasms,lower abdominal pain,vomiting,back pain,nausea"
peritonitis,"side pain,intermenstrual bleeding,nausea"
panic disorder,"depression,abnormal involuntary movements,dizziness,shortness of breath"
pyelonephritis,"vomiting,sharp abdominal pain"
eating disorder,"anxiety and nervousness,decreased appetite,acne or pimples,insomnia,depressive or psychotic symptoms,abusing alcohol"
atrophic vaginitis,"frequent urination,vaginal itching,suprapubic pain,pain during intercourse,blood in urine,vaginal discharge,involuntary urination"
vaginitis,"pain during intercourse,vaginal pain,sharp abdominal pain,vaginal redness,pelvic pain"
tinnitus of unknown cause,"diminished hearing,plugged feeling in ear,hoarse voice,ringing in ear"
chronic pain disorder,"sharp abdominal pain,ache all over,low back pain,pelvic pain,leg pain,back pain"
thoracic aortic aneurysm,"sharp abdominal pain,fatigue,dizziness,jaundice,shortness of breath"
problem during pregnancy,"pain during pregnancy,spotting or bleeding during pregnancy,headache,back pain,nausea,pelvic pain,lower abdominal pain"
glaucoma,"itchiness of eye,foreign body sensation in eye,symptoms of eye,diminished vision,pain in eye"
vaginitis,"vaginal redness,pain during intercourse,vaginal pain,vaginal discharge,painful urination,sharp abdominal pain,pain during pregnancy"
cirrhosis,"upper abdominal pain,sharp abdominal pain,abdominal distention,regurgitation.1,regurgitation,peripheral edema"
eating disorder,"abusing alcohol,weight gain,depression,acne or pimples,depressive or psychotic symptoms,insomnia"
pyelonephritis,"side pain,blood in urine,back pain,suprapubic pain,vomiting"
acute pancreatitis,"nausea,diarrhea,burning abdominal pain,lower body pain,side pain"
transient ischemic attack,"weakness,dizziness,depressive or psychotic symptoms"
transient ischemic attack,"dizziness,paresthesia,weakness,difficulty speaking,symptoms of the face,loss of sensation"
acute pancreatitis,"diarrhea,upper abdominal pain,side pain,sharp abdominal pain,nausea,lower body pain,burning abdominal pain"
sick sinus syndrome,"shortness of breath,fainting,dizziness,weakness,irregular heartbeat,increased heart rate"
atrophic vaginitis,"frequent urination,vaginal itching,blood in urine,involuntary urination,vaginal discharge"
vaginitis,"vaginal discharge,vaginal redness,pain during pregnancy,sharp abdominal pain,vaginal itching,pelvic pain,vaginal pain"
osteochondrosis,"knee pain,elbow pain,hand or finger pain,foot or toe pain"
acute pancreatitis,"burning abdominal pain,sharp abdominal pain,upper abdominal pain,diarrhea"
chronic pain disorder,"headache,shoulder pain,hip pain,low back pain,leg pain"
choledocholithiasis,"side pain,vomiting,sharp abdominal pain,jaundice,chills,decreased appetite"
peritonitis,"sharp abdominal pain,shortness of breath,vomiting,side pain,nausea,back pain"
vaginitis,"vaginal discharge,vaginal redness,painful urination,pain during pregnancy,sharp abdominal pain"
eye alignment disorder,"cross-eyed,irregular appearing scalp,double vision,symptoms of eye"
panic disorder,"depressive or psychotic symptoms,depression,chest tightness,insomnia"
osteochondrosis,"ankle pain,elbow pain,knee pain,hand or finger pain,foot or toe pain,bowlegged or knock-kneed"
vaginitis,"pelvic pain,vaginal pain,lower abdominal pain,pain during intercourse,suprapubic pain,painful urination"
eating disorder,"difficulty eating,abusing alcohol,insomnia,depressive or psychotic symptoms"
panic disorder,"abnormal involuntary movements,depressive or psychotic symptoms,dizziness,shortness of breath,palpitations"
ischemia of the bowel,"sharp abdominal pain,vomiting,constipation,nausea,retention of urine,blood in stool"
panic disorder,"chest tightness,abnormal involuntary movements,dizziness,breathing fast,depressive or psychotic symptoms,depression,palpitations"
eye alignment disorder,"eye moves abnormally,cross-eyed,lack of growth"
pyelonephritis,"sharp abdominal pain,vomiting,low back pain,side pain,frequent urination,painful urination,nausea"
chronic pain disorder,"shoulder pain,back pain,low back pain,knee pain,pelvic pain,leg pain"
transient ischemic attack,"disturbance of memory,symptoms of the face,headache,weakness,focal weakness,difficulty speaking,depressive or psychotic symptoms"
acute pancreatitis,"side pain,burning abdominal pain,sharp abdominal pain,lower body pain,back pain,sharp chest pain"
asthma,"wheezing,sharp chest pain,nasal congestion"
acute pancreatitis,"side pain,lower body pain,hemoptysis,sharp chest pain"
eye alignment disorder,"double vision,eye deviation,irregular appearing scalp,lack of growth,symptoms of eye,diminished vision"
problem during pregnancy,"vomiting,spotting or bleeding during pregnancy,back pain,lower abdominal pain,cramps and spasms,nausea,pelvic pain"
peritonitis,"back pain,vomiting,side pain"
glaucoma,"pain in eye,itchy eyelid,eye redness"
pyelonephritis,"vomiting,painful urination,blood in urine,nausea,low back pain,sharp abdominal pain"
vaginitis,"vaginal pain,lower abdominal pain,vaginal redness,vaginal itching,pelvic pain"
vaginitis,"vaginal redness,suprapubic pain,pelvic pain,pain during pregnancy,vaginal pain,vaginal discharge"
thrombophlebitis,"skin on leg or foot looks infected,arm swelling,skin swelling"
subdural hemorrhage,"headache,dizziness,depressive or psychotic symptoms,facial pain,irritable infant"
acute pancreatitis,"side pain,nausea,diarrhea,upper abdominal pain,sharp abdominal pain"
acute pancreatitis,"sharp abdominal pain,vomiting,lower body pain"
choledocholithiasis,"decreased appetite,upper abdominal pain,sharp abdominal pain,jaundice,nausea,side pain"
fibromyalgia,"ache all over,leg pain,muscle pain"
thoracic aortic aneurysm,"jaundice,shortness of breath,sharp chest pain,dizziness,fatigue,chest tightness"
diabetic retinopathy,"double vision,pain in eye,diminished vision,foreign body sensation in eye,spots or clouds in vision"
diabetic retinopathy,"itchiness of eye,foreign body sensation in eye,abnormal movement of eyelid,diminished vision,double vision,symptoms of eye"
pyelonephritis,"back pain,sharp abdominal pain,painful urination,blood in urine,frequent urination,vomiting"
vaginitis,"vaginal discharge,vaginal pain,lower abdominal pain,pelvic pain,vaginal redness,pain during intercourse"
glaucoma,"lacrimation,itchiness of eye,eye redness,symptoms of eye,itchy eyelid,diminished vision,foreign body sensation in eye"
